Country,Code,Year,Stunting
Bangladesh,BGD,1986,70.90000153
Bangladesh,BGD,1990,63.40000153
Bangladesh,BGD,1991,73.59999847
Bangladesh,BGD,1992,71.5
Bangladesh,BGD,1993,69.19999695
Bangladesh,BGD,1994,67.30000305
Bangladesh,BGD,1995,65.80000305
Bangladesh,BGD,1996,63.79999924
Bangladesh,BGD,1997,59.59999847
Bangladesh,BGD,1998,59.29999924
Bangladesh,BGD,1999,59.90000153
Bangladesh,BGD,2000,51.09999847
Bangladesh,BGD,2001,53.20000076
Bangladesh,BGD,2002,51.40000153
Bangladesh,BGD,2003,47.79999924
Bangladesh,BGD,2004,50.5
Bangladesh,BGD,2005,45.90000153
Bangladesh,BGD,2006,45.09999847
Bangladesh,BGD,2007,43.20000076
Bangladesh,BGD,2011,41.29999924
Bangladesh,BGD,2013,38.70000076
Bangladesh,BGD,2014,36.20000076
Bangladesh,BGD,2018,30.89999962
Bangladesh,BGD,2019,28
China,CHN,1987,38.29999924
China,CHN,1990,32.29999924
China,CHN,1992,38
China,CHN,1995,31.20000076
China,CHN,1998,19.79999924
China,CHN,2000,17.79999924
China,CHN,2002,21.79999924
China,CHN,2005,11.69999981
China,CHN,2008,9.800000191
China,CHN,2009,9
China,CHN,2010,9.399999619
China,CHN,2013,8.100000381
China,CHN,2017,4.800000191
Colombia,COL,1986,26.60000038
Colombia,COL,1989,21.79999924
Colombia,COL,1995,19.60000038
Colombia,COL,2000,18.20000076
Colombia,COL,2005,16
Colombia,COL,2010,12.60000038
Kenya,KEN,1987,37
Kenya,KEN,1993,40.20000076
Kenya,KEN,1994,41.09999847
Kenya,KEN,1998,37.40000153
Kenya,KEN,2000,40.79999924
Kenya,KEN,2003,35.79999924
Kenya,KEN,2005,40.29999924
Kenya,KEN,2008,35.5
Kenya,KEN,2011,26.29999924
Kenya,KEN,2014,26.20000076
Peru,PER,1991,37.29999924
Peru,PER,1996,31.60000038
Peru,PER,2000,31.29999924
Peru,PER,2005,29.20000076
Peru,PER,2007,28
Peru,PER,2009,23.89999962
Peru,PER,2010,23.29999924
Peru,PER,2011,19.5
Peru,PER,2012,18.39999962
Peru,PER,2013,17.60000038
Peru,PER,2014,14.80000019
Peru,PER,2015,14.69999981
Peru,PER,2016,13.10000038
Peru,PER,2017,12.80000019
Peru,PER,2018,12.19999981
Peru,PER,2019,12.19999981
